"Excel row","Organisation","Department","Duplicate of row","Department UUID","Organisation UUID","Outcome","Changed fields","Blank fields preserved","address_line_1","address_line2","address_line_3","address_town_city","address_county","address_post_code","phone_number"
"12","Bedford Hospital","Nuclear Medicine Stand Alone","","c8c4dae8-fd2b-4854-8ebb-13f74111955c","acc526dc-c910-454c-b2c6-be5984fc1e45","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Kempston Road","","","Bedford","Bedfordshire","MK42 9DJ",""
"13","Belfast City Hospital","Nuclear Medicine - Physics based","","09765e79-5de9-4829-a7bf-009c6b08de23","3ff7db2b-5800-45a1-b2ba-f3fc9f52c625","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Lisburn Road","","","Belfast","","BT9 7AB",""
"14","Birmingham Children's Hospital","Radiology based Nuclear Medicine","","24c5547e-82c4-4eb9-bd05-fe72618df462","2c65efb1-32fe-468c-aa14-eb83c53f8ddf","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Steelhouse Lane","","","Birmingham","","B4 6NH",""
"15","Birmingham Heartlands Hospital","Nuclear Medicine Stand Alone","","738537f0-b105-4f66-af25-f81e7b6dbbdb","2bc3c7ea-287d-47f3-8c77-b7f13bb6349c","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Bordesley Green East","","","Birmingham","West Midlands","B9 5SS",""
"16","Birmingham PET-CT Centre","PET Centre","","1fe869a4-1930-4a68-9be4-74f841c71634","f89eb62e-d005-4688-844d-587eb03132fa","Updated and verified","address_line_1; address_town_city; address_county; address_post_code; phone_number","address_line2; address_line_3","Top of Main Drive","","","Birmingham","West Midlands","B15 2TH","0121 371 7220"
"17","Blackpool Victoria Hospital","Radiology based Nuclear Medicine","","fe1111ee-2f75-4d9d-842b-ca277d74f7a8","5302be61-f711-470a-bc71-b3049290eb69","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Whinney Heys Road","","","Blackpool","Lancashire","FY3 8NR",""
"18","BMI Mount Alvernia Hospital","Radiology based Nuclear Medicine","","f56936c0-a706-4665-9d50-3f05c7dd430e","b0d3c573-c818-4e3f-8fe5-ded2ed325670","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","46 Harvey Road","","","Guildford","Surrey","GU1 3LX",""
"19","Borders General Hospital","Radiology based Nuclear Medicine","","db659acc-f731-4125-83b6-eff4fac39006","79587b69-f8e5-47e6-8de9-e0cd3e2b9a86","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Huntlyburn Terrace","","","Melrose","Roxburghshire","TD6 9BS",""
"20","Bradford Royal Infirmary","Nuclear Medicine - Physics based","","4bdbe333-bce4-4c54-9474-224ff03cdcb0","c4e22b2f-668b-4b91-8535-176689ee8f1a","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Duckworth Lane","","","Bradford","West Yorkshire","BD9 6RJ",""
"21","Bradford Royal Infirmary","Radiopharmacy","","8bbbb2b8-2dad-4300-a314-de4731163c27","c4e22b2f-668b-4b91-8535-176689ee8f1a","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Duckworth Lane","","","Bradford","West Yorkshire","BD9 6RJ",""
"22","Bristol Royal Infirmary","Radiology based Nuclear Medicine","","45d4652a-8b6c-411a-a359-799e5b375b8d","7bd3943a-edb1-4d5a-b219-c9e9b7024ef3","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Upper Maudlin Street","","","Bristol","","BS2 8HW",""
"23","Bristol Royal Infirmary","Radiopharmacy","","8755e71e-726e-4f78-a594-2771a45e373e","7bd3943a-edb1-4d5a-b219-c9e9b7024ef3","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Upper Maudlin Street","","","Bristol","","BS2 8HW",""
"24","Broomfield Hospital","Nuclear Medicine Stand Alone","","13b1d84a-1e1e-4b91-afd1-dc7a58dfd788","26dcc016-008e-4eac-bd9d-befa56473fd3","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Court Road","Broomfield","","Chelmsford","Essex","CM1 7ET",""
"25","Cardiff Royal Infirmary","Radiology based Nuclear Medicine","","91694050-352b-49a6-b8fa-34272fe5b61b","b84e036a-df02-44b7-bbe2-fdc8111722fe","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Glossop Terrace","","","Cardiff","","CF24 0SZ",""
"26","Castle Hill Hospital","Nuclear Medicine Stand Alone","","163d4c47-3af7-4b43-85fe-bf9cc9ec96cb","3c198270-af51-40d9-83f2-ecfd5dbf7067","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Castle Road","","","Cottingham","East Yorkshire","HU16 5JQ",""
"27","Castle Hill Hospital","PET Centre","","e2bbeded-e197-4cec-b835-2cdcf8fa25b0","3c198270-af51-40d9-83f2-ecfd5dbf7067","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Castle Road","","","Cottingham","East Yorkshire","HU16 5JQ",""
"28","Charing Cross Hospital","Nuclear Medicine Stand Alone","","d38280a7-3e92-45f8-8e1f-6b5845b61d4f","e4817a7d-27f3-4d1b-9619-5daa7f5efa38","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Fulham Palace Road","","","London","","W6 8RF",""
