#TUNAWEZA faundation
AAMUSTED
Aasaman Nepal
Acacia Sports Consultancy
Action for sustainable change
Action Pour le Developpement des Jeunes au Congo
Aflatoun International
Afrikids Ghana
AfriKids UK
Aga khan Academy Maputo 
Aga Khan Education Service Pakistan
Aga Khan Foundation
Aga Khan University Examination Board
Aga Khan- Institute for Human Development
Agahozo Shalom Youth Village
Agrani viklang Foundation
Ajibu Community
AKU
ALA
Alarm Ministries
AlifLaila Kids Digital Library
Alliance for Child Health Inclusive Learning and Development
Alokit
Ambo University
Amis de l'Afrique Francophone-Benin (AMAF-BENIN NGO)
Amna
Apni Shala Foundation
Apostolic Voice Education Trust
Ark
Ark South Africa
Ark Ventures
Asante Aid for Children and Schools in Africa
Atekok Foundation Africa
ATENXIA
Azahir 
BeMyBuddy Foundation
Benetech
Bens gender Preparatory and junior school 
Better Purpose
Big Win
BIGKID Foundation
Binding Constraints Lab
Blended Finance
BOKONZI
Boltay Huroof
Bonnievale418
Bowjow learning
Bridge Acadamies
Bridges Outcomes Partnership
Brightland High School
Camara Education
Camry House Limited
CEEOINDIA
Centro Cultural Aliwen
Charities Aid Foundation
Child Fund
ChildFund International
Children of Africa network
"Children's Book Organisation, Tanzania"
CHIYEMBEKEZO ACADEMY
Clinton Health Access
Committee Chair
Commonwealth Education Trust
Community And Family Aid Foundation-Ghana
Community Centred Conservation - C3 Madagascar
Community Keepers
Concerned Heart Foundation Ghana
ConveGenius Edu Services Private Limited
CSTA INDIA
Dar Tawheed community school
Daraja Civic Initiative
Darsel
debug SO
Delta Education Collective
Earlybird Community NPC
Earth Warriors
Ecole Yassamine
Ed Tech
Edge Hope Builders For Youth and Women Initiative
Educare Learning Centre
Educate Girls
Educate Me Foundation
Educate!
Education Cannot Wait
Education Design Unlimited
EDUCATION NETWORK
Educational Initiatives Pvt. Ltd.
Edukans Education services
Edulution
Eduspots
EHALINE EMPOWERMENT INITIATIVE CENTRE UGANDA
eKitabu
ELIMU BORA INITIATIVE CBO
Elimu Shop
Elshaddai Ministries Trust
"EMAN ISLAMIC DEVELOPMENT ORGANIZATION (EIDO) - SIERRA LEONE, WEST AFRICA."
EMAN ISLAMIC DEVELOPMENT ORGANIZATION (EIDO) SIERRA LEONE
ESO
ESO BETA
ESO Organisation tester
ESO Test
ESO test 22
ESO test 25
ESO test 27.01.26
ESO test 30
EVEREST SCHOOL 
Ewangan Child Development Programme
Expanding Boundaries International
Facult̩ de Sciences et Technologies de l'Education et de la Formation Universit̩ Cheikh Anta Diop de Dakar
Fe y Alegria
Fidel Educational consult
Flying Kites
Freshta Foundation
Fudela
Fudela Eucador
Funda Wande
Futures Infinite Ltd
