"Organisation Name","Organisation UUID","Department Name","Department UUID"
"Princess Alexandra Hospital Harlow","8aff56ec-015e-4a9f-ad32-4abdab21d4b6","Radiology based Nuclear Medicine","a20c76d4-f6bd-4959-8f29-6c7545eabd1b"
"Princess of Wales Hospital Bridgend","3f6bcee1-f5b2-43c4-8ab1-f4745756a13f","Radiology based Nuclear Medicine","4defc862-c378-4bbf-aca2-c3511060a38f"
"Princess Royal Hospital","62de487e-25db-4099-899b-64f2824fdf09","Radiology based Nuclear Medicine","b21e7412-3b42-42d3-9668-59022e685413"
"Princess Royal University Hospital","e125792a-bd34-4b2b-83ad-595001fb08d1","Radiology based Nuclear Medicine","9243504a-b34d-4ef9-8827-2b90d68c8593"
"Queen Alexandra Hospital","ae4a1735-b727-45fe-b718-556cca0d97d9","Radiology based Nuclear Medicine","a1828a09-8040-4927-b4ce-c492544b958f"
"Queen Elizabeth Hospital","1d65c6c3-18e7-46da-8538-ee1ce2e1caea","Radiopharmacy","e9b9d4bf-ec9d-4c53-87a2-5d691f936868"
"Queen Elizabeth Hospital (Woolwich)","b12d5bf8-a469-46d9-933f-fc948c28170f","Radiology based Nuclear Medicine","30ffba61-6800-4090-8a2a-e386b344263b"
"Queen Elizabeth Hospital Birmingham","987ecf99-2f58-4c0d-9f88-ea6d170c60aa","Nuclear Medicine - Physics based","196331b7-31fe-4f1a-8b9f-ee391e33f8c8"
"Queen Elizabeth Hospital Birmingham","987ecf99-2f58-4c0d-9f88-ea6d170c60aa","PET Centre","7d3dc0d2-3458-49ba-aaea-025b0e36b2d5"
"Queen Elizabeth Hospital Birmingham","987ecf99-2f58-4c0d-9f88-ea6d170c60aa","Radiopharmacy","f5d997ae-d13a-49d6-a1bf-4651d9f42c3e"
"Queen Elizabeth Hospital Gateshead","346d7094-4da6-48aa-91af-10e4ac0cf0b4","Nuclear Medicine Stand Alone","6beff018-bad5-42a5-bdc4-e206ad7bd2f7"
"Queen Elizabeth Hospital King's Lynn","a666407c-e476-451f-9679-a8e3a1f06128","Radiology based Nuclear Medicine","40fc4d3d-2ad5-41b1-8aea-b3f453440328"
"Queen Elizabeth University Hospital","a2203eac-b1c8-4134-970c-943eafea3315","Nuclear Medicine Stand Alone","00db11e8-dcf6-407c-a24f-99428fe3c3ce"
"Queen Elizabeth University Hospital","a2203eac-b1c8-4134-970c-943eafea3315","Radiopharmacy","19530035-11f3-4d8c-bcf8-6b93f58cab34"
"Queen's Hospital","9532bab7-3f99-4a4c-bd1b-780312591dd9","Nuclear Medicine Stand Alone","d33387fe-cd3e-4e0f-98b7-0f7501b8eba0"
"Queen's Hospital","9532bab7-3f99-4a4c-bd1b-780312591dd9","Radiopharmacy","aea9e070-48c9-40fc-b190-25424f45713e"
"Queen's Medical Centre","640961b5-6520-4295-b582-7142dd326850","Nuclear Medicine - Physics based","d79b782a-eef2-4b32-a865-d1b44384ceef"
"Queen's Medical Centre","640961b5-6520-4295-b582-7142dd326850","Radiopharmacy","907bacc2-733f-4ae3-9140-680b895d8063"
"Queen's Medical Research Institute","7b7b39bf-500c-45a3-9c4d-20651e008d64","PET Centre","dc3a3fa0-8e42-460f-998c-141296be75cc"
"Queen's University Belfast","9644277c-34ae-4574-b3a4-4ea2f1f1d032","",""
"Raigmore Hospital","5dc9ee93-2306-4070-b1b6-2c12218bf3d7","Nuclear Medicine Stand Alone","4104c4c9-2328-493b-9b8b-2c8ac5f2c102"
"Raigmore Hospital","5dc9ee93-2306-4070-b1b6-2c12218bf3d7","Radiopharmacy","33c31ccb-9081-401c-a98d-4a2e1f922f1a"
"Rotherham Hospital","96678185-0e0f-49e5-8896-29c551192e10","Nuclear Medicine - Physics based","b2440b77-51ef-4c70-b270-f969e9fb44c9"
"Rotherham Hospital","96678185-0e0f-49e5-8896-29c551192e10","Radiopharmacy","51a4e2a5-4832-4138-bde8-d6ef429426d3"
"Royal Albert Edward Infirmary Wigan","dec3c12f-1149-4c2a-ba8f-d578e78360c5","Nuclear Medicine Stand Alone","b7cae21b-8bdf-436f-baa3-88c8a753e798"
"Royal Alexandra Hospital","c6ec8b54-a026-49ef-8797-cbdce4b8c0b5","Nuclear Medicine - Physics based","0243228c-0eac-472e-84f9-ff18f0639751"
"Royal Belfast Hospital for Sick Children","ea9159ab-7524-4c10-b674-4551f5e39c8b","Nuclear Medicine Stand Alone","55f69338-bb94-4a97-91e6-3bea3410a707"
"Royal Berkshire Hospital","ba8ef7be-17d0-4200-a2f7-dfd4d273b3d1","Nuclear Medicine - Physics based","b0eae3f2-b9fd-4ac8-9275-b5e1cbe7c13d"
"Royal Blackburn Hospital","f9944d3d-823c-411a-bc41-d31d2b75684a","Nuclear Medicine Stand Alone","045f3eb2-34f2-4267-ae9d-64402b161bb9"
"Royal Bolton Hospital","d532a037-aa98-4d0b-8f05-e36c9bca837a","Nuclear Medicine Stand Alone","6b19d8ec-be51-4cb1-83c2-4bc09e22ae5c"
"Royal Brompton Hospital","25f7addb-2d57-44f7-ae85-f643fa77131f","Nuclear Medicine Stand Alone","c15a4e36-43e4-4213-ad21-d1f11692f5bc"
"Royal Cornwall Hospital","b2831e2c-0dfb-4089-838d-268cef32299f","Radiology based Nuclear Medicine","c6d567b0-d4f7-48a6-bfd5-8917bfb2e88f"
"Royal Cornwall Hospital","b2831e2c-0dfb-4089-838d-268cef32299f","Radiopharmacy","96180d37-ff00-49c6-a878-86147f278dec"
"Royal Derby Hospital","70d60ce9-14cb-4f8a-8d76-15d5fbc19142","Nuclear Medicine Stand Alone","b0e8f25d-452e-422d-aa34-f92920a18616"
"Royal Derby Hospital","70d60ce9-14cb-4f8a-8d76-15d5fbc19142","Radiopharmacy","e5597565-4186-4730-a321-bcc104a8e4b5"
"Royal Devon and Exeter Hospital (Wonford)","43d50448-ab10-4735-ba7f-10910d9f7469","Radiology based Nuclear Medicine","04110cda-8682-4d31-b8b3-6592259bb65c"
"Royal Devon and Exeter Hospital (Wonford)","43d50448-ab10-4735-ba7f-10910d9f7469","Radiopharmacy","caa42065-9d63-4ab9-a20e-44603a937830"
"Royal Free Hospital","ca985841-fc7a-457c-9a85-ce7eb8d9cc61","PET Centre","74301813-97fe-447c-aef0-91260b08cec1"
"Royal Free Hospital","ca985841-fc7a-457c-9a85-ce7eb8d9cc61","Radiopharmacy","9bdeef75-ef29-4e71-8453-0ef1669888c6"
"Royal Glamorgan Hospital","d7ae9a91-d9e9-4cad-8ded-b5a341f022ba","Radiology based Nuclear Medicine","e4264d51-2c20-4fb9-b316-f52e6afb15db"
"Royal Gwent Hospital","72dede8e-3d4d-4b2a-9a98-a29a7c8b3f85","Radiology based Nuclear Medicine","fa109997-28d5-462e-b27f-a13c4a7c552f"
"Royal Hospital for Children and Young People","3f1324d9-e1b7-4936-a8e6-a0157e6356e6","Nuclear Medicine Stand Alone","464b579d-b25d-4a13-9463-9a4d50d766e1"
"Royal Hospital for Children Glasgow","795aaf82-8670-4565-a8b1-a55195d3f766","Nuclear Medicine Stand Alone","f11023c5-9ab8-4479-a3e2-9283fee04ace"
"Royal Infirmary of Edinburgh","998ee353-f67e-4dd3-a457-f80b5f8f75e6","Nuclear Medicine Stand Alone","7f215990-e1bd-45b2-bf7f-c0ee074daea8"
"Royal Infirmary of Edinburgh","998ee353-f67e-4dd3-a457-f80b5f8f75e6","Radiopharmacy","d8fb9d5a-a6c7-409e-9281-48f5be0c7da0"
"Royal Lancaster Infirmary","f9aa9734-6006-49dd-8d10-1a19779ce72a","Radiology based Nuclear Medicine","8a1a5689-df92-4199-8b67-72c85c8c9bcb"
"Royal Liverpool University Hospital","344d2c03-124e-4b52-9cb1-c0da9a69e594","Nuclear Medicine Stand Alone","5f04092b-615d-43e4-9e0f-5d9c78841785"
"Royal Liverpool University Hospital","344d2c03-124e-4b52-9cb1-c0da9a69e594","PET Centre","6a111a71-4374-49d2-bccf-b0e15fbc8623"
"Royal Liverpool University Hospital","344d2c03-124e-4b52-9cb1-c0da9a69e594","Radiopharmacy","322d6749-373f-49f9-b254-35caff98a5f1"
"Royal Manchester Children's Hospital","79455630-e4c3-44ec-aa64-454f4b288161","Nuclear Medicine - Physics based","5cf9c371-e4de-4a74-bd42-6e26bb724884"
"Royal National Orthopaedic Hospital","190af422-1acb-40bd-b838-68dc5640093d","Nuclear Medicine Stand Alone","ae23f96d-91cf-4545-b4ea-7c1b23b59f74"
"Royal Papworth Hospital","87cc3280-2b42-4579-b57f-c4aa2a49c8db","Radiology based Nuclear Medicine","d6cb3208-672c-496f-b519-c3cbf50602cb"
"Royal Preston Hospital","b1437051-564b-4237-94cc-aedc2ac4354d","Nuclear Medicine Stand Alone","4ae089ec-172c-4fed-8c9d-2da38a6c5058"
"Royal Preston Hospital","b1437051-564b-4237-94cc-aedc2ac4354d","PET Centre","5ab68dbe-4da2-4ff0-b75a-d5422c8ff32b"
"Royal Preston Hospital","b1437051-564b-4237-94cc-aedc2ac4354d","Radiopharmacy","562f5b69-dd4f-4042-b76b-87629f6f26bc"
"Royal Shrewsbury Hospital","8fb9cefa-13c6-4633-84cf-54c1ba3fa8b5","Radiology based Nuclear Medicine","0b6f3187-973b-4c53-9dc0-5cb548721700"
"Royal Shrewsbury Hospital","8fb9cefa-13c6-4633-84cf-54c1ba3fa8b5","Radiopharmacy","6fc1c8bd-eec0-49dd-8413-ed71511da3f8"
"Royal Stoke Hospital","54b0a9cc-4484-454e-9090-3c0f364cfc55","Radiology based Nuclear Medicine","f62ebfe6-64a8-4ea6-8b0f-96e213494c53"
"Royal Surrey County Hospital","e7f4f792-48da-4d7b-8918-526e7227f450","Nuclear Medicine Stand Alone","521d3f68-07fb-407a-8961-63015fa37442"
"Royal Sussex County Hospital","8c6b7161-ea4b-4e29-8438-99fa7f362a8f","Nuclear Medicine Stand Alone","0d3f9ff3-8b1a-4db9-b906-57b786664dbe"
"Royal Sussex County Hospital","8c6b7161-ea4b-4e29-8438-99fa7f362a8f","Radiopharmacy","16f0be08-0105-4b1f-9bee-dd6dfe619362"
"Royal United Hospital","e6840819-4d9f-41c8-b2e4-189de51f8e68","Radiopharmacy","5fbce29c-213a-48bc-8a8c-e2d891e42c95"
"Royal United Hospital Bath","52d1c8db-95ef-44a2-b499-fe0532e48de5","Nuclear Medicine - Physics based","e2633069-3409-4146-b28c-148263acb7b3"
"Royal Victoria Hospital","84a86e0f-e6b3-4303-adb9-aa3418383677","Nuclear Medicine Stand Alone","7696ba9c-dc20-48d0-84a8-c63d70f1a86a"
"Royal Victoria Hospital","84a86e0f-e6b3-4303-adb9-aa3418383677","Radiopharmacy","d5f83907-93db-4caf-84e6-f55887603881"
"Russells Hall Hospital","195f3e64-8e3b-4621-b4be-45a6e45a0e11","Radiology based Nuclear Medicine","346ec7c6-4b82-492d-bf22-7f6e92fbb79a"
"Salford Royal Hospital","04422e5c-095d-4b3b-b025-6c38261d87d5","Nuclear Medicine Stand Alone","b291c95e-142c-463f-b9c5-e41ed8b149a0"
"Salford Royal Hospital","04422e5c-095d-4b3b-b025-6c38261d87d5","Radiopharmacy","103cb9fc-b83b-4ce5-99e9-f2d808698da4"
"Salisbury District Hospital","7e6a074c-33c2-44bb-b923-ed337d45d798","Radiology based Nuclear Medicine","8a13beeb-cafb-4818-9fea-b2a0096d5639"
"Scarborough General Hospital","c76225a5-ec2c-438e-8779-3e67a202f426","Nuclear Medicine Stand Alone","ad731b3d-c4bb-4f21-a58d-9ef85800a3ff"
"Scarborough Hospital","17b1300a-e17a-41a7-bd87-c9b53deedb32","Radiopharmacy","fc381e7b-5eb5-4d05-8dcb-ede8ba50e271"
"Sheffield Children's Hospital","11b4eef3-43f1-4724-94cb-b7baeb27bbcf","Radiology based Nuclear Medicine","09f6f695-7773-4d27-8938-d526bfa83615"
"Simbec-Orion Clinical Pharmacology Unit","0ed5d4bc-4309-4dd5-95d7-a3c9d300166f","Nuclear Medicine Stand Alone","301fb8dd-08fc-4e72-98d5-b1efbf3e1e9f"
"Simon Langton Girls' Grammar School","0f36d22f-5494-49c2-8c8f-b4954dd08d7f","",""
"Sindh Institute of Urology and Transplantation (SIUT)","038f1d14-5b6b-4268-930f-00fa9aa10259","",""
"Singleton Hospital","802c59c2-6d44-4ee2-a22b-39045ae2c7f4","Nuclear Medicine - Physics based","f5e51cc5-d52e-40e2-b3ca-ec4ff1a946c5"
"South Tyneside District Hospital","e3606f21-9bc2-44aa-b7b5-6de7c427a859","Radiology based Nuclear Medicine","0af9fa59-350a-45c7-a585-1764e37935e2"
"South Tyneside District Hospital","e3606f21-9bc2-44aa-b7b5-6de7c427a859","Radiopharmacy","ef4d27a3-14d6-44b4-853c-a20d22c58e02"
"Southampton General Hospital","26fde922-6cef-42d9-99ee-a0fdc29d72a1","Nuclear Medicine Stand Alone","a744f9a8-a504-48f5-ad5f-9b9591561842"
"Southampton General Hospital","26fde922-6cef-42d9-99ee-a0fdc29d72a1","Radiopharmacy","a161f139-ab00-4492-ab6a-865892eea5a1"
"Southend University Hospital","eb007411-7cfa-463b-a085-0b6ee8b9fdf5","Nuclear Medicine Stand Alone","43ac3e61-7f75-4fb0-8da3-2bc3991cc127"
"Southend University Hospital","eb007411-7cfa-463b-a085-0b6ee8b9fdf5","Radiopharmacy","d79eea9d-85ec-47c7-a72d-169de2c0f6da"
"Southmead Hospital","592b3af9-b805-422e-ad95-5bf28d8cde4a","Nuclear Medicine Stand Alone","5e6c0755-3e40-4de6-82b7-74f96dd76389"
"Spire Edinburgh Hospitals","ca11daf9-c57e-4939-8b02-d6774ba9c7e6","Nuclear Medicine Stand Alone","78f1a6a9-e0d1-4773-9549-08d83a66bc2b"
"St Bartholomew's Hospital","1194b295-a383-402b-a637-b7c9aadd1cf5","Nuclear Medicine Stand Alone","5e32819e-67ee-4c31-8542-0c827332679f"
"St Bartholomew's Hospital","1194b295-a383-402b-a637-b7c9aadd1cf5","PET Centre","7e3ef7db-42af-44ca-97fc-8972b4b66c13"
"St Bartholomew's Hospital","1194b295-a383-402b-a637-b7c9aadd1cf5","Radiopharmacy","a3fc6746-460b-4a3b-a871-83cd8f7e243b"
"St David's Hospital","f925057f-2474-4c87-ad94-5983e79f3ed5","Radiology based Nuclear Medicine","05c225db-0383-4a7f-a999-40a6c5ffe64b"
"St George's Hospital","9d400268-bedb-4f32-8616-8d2e21e344ec","Radiology based Nuclear Medicine","a23cb64f-5bbe-4728-90a0-0b3cae3ee960"
"St George's Hospital","9d400268-bedb-4f32-8616-8d2e21e344ec","Radiopharmacy","c3125b87-f9c9-45eb-87d3-9f4a12a841be"
"St Helier Hospital","9370c7c8-d994-4fb2-b1b6-89f721c155f3","Nuclear Medicine Stand Alone","c730192c-7a43-4d3a-9fe0-df1514abb134"
"St James's University Hospital","4c006135-241d-4b7f-b755-10d7066b9d20","Radiology based Nuclear Medicine","b3589bdf-9fab-4d68-b1c7-bf0dcd26f573"
"St James's University Hospital","4c006135-241d-4b7f-b755-10d7066b9d20","Radiopharmacy","0c8f1d26-9030-48d5-8f04-5f2307add4e0"
"St Mary's Hospital","88c8afed-c201-4d59-967d-1ab25c2d363d","Nuclear Medicine Stand Alone","d261eb94-b36a-4610-adb2-f51da18b8a58"
"St Mary's Hospital (London)","efabeb87-8759-4243-8bc3-5d5c9cdb11b7","Radiopharmacy","34f7a2ca-3432-43d9-bf02-56f93f504bc3"
"St Richard's Hospital Chichester","56b21482-c150-4f2f-9d3e-767012209714","Radiology based Nuclear Medicine","168bd772-c4f9-40ef-a4fc-f0c3eea0ab34"
"St Thomas' Hospital","f607f226-9fd1-43b7-8340-0d2d8a1f20e9","Nuclear Medicine Stand Alone","f29e5907-2e86-4798-8a91-2170f83ffae2"
"Stepping Hill Hospital Stockport","008fefce-6b2b-46b1-b42f-b4af60236fe4","Radiology based Nuclear Medicine","4df71cb4-e01d-4603-8be1-b196a4a9926b"
"Stobhill Hospital Glasgow","ac5589e4-8c34-4151-8175-adca5b18c916","Nuclear Medicine - Physics based","79726fd8-8e0d-4d03-88bb-d4bee47cc91f"
"Sunderland Royal Hospital","a60488ac-8fec-4751-9aaa-5a8e67488b5b","Radiology based Nuclear Medicine","63cae3ed-cfd1-4957-a486-1a8ca0f6bc9a"
"Sunderland Royal Hospital","a60488ac-8fec-4751-9aaa-5a8e67488b5b","Radiopharmacy","ffa33dad-94db-4c34-922a-b24facee62b2"
"Swansea University","90d8e904-3c69-4b8a-86c2-bd2745c5b6ef","",""
"Tameside General Hospital","dec09e0f-3823-4944-beaf-de77231228c2","Nuclear Medicine Stand Alone","721d5d20-01f5-402a-b46a-f2f553427a31"
"The Alexandra Hospital","69a1a5ff-0ff8-4921-8e11-7604430f7b80","Nuclear Medicine Stand Alone","9a2bc833-afb0-41f8-a260-ac0fa703bdbf"
"The Cancer Centre Wimbledon","227af740-d474-4d1f-b3c0-d2f4671beb04","Radiology based Nuclear Medicine","3dcfecb8-37b3-4a3a-86e0-5aef3734e30a"
"The Christie Hospital","75df674e-5202-43e3-bf9f-d380a3caafab","Nuclear Medicine Stand Alone","94633fb2-19ee-42f8-be94-98a69f556ad1"
"The Christie Hospital","75df674e-5202-43e3-bf9f-d380a3caafab","Radiopharmacy","e02f0526-7323-485c-a148-ba28fb33791f"
"The Harley Street Clinic","7f037648-d1d6-48fd-b5c7-fa15596ba48e","Radiology based Nuclear Medicine","341dd89e-ce14-4445-b89b-d923cec1683f"
"The James Cook University Hospital","ab14f948-f1f7-4317-8ad4-f3bcdd14fe10","Nuclear Medicine - Physics based","1874a218-ecdc-42e4-98b3-87f4e7ac6761"
"The James Cook University Hospital","ab14f948-f1f7-4317-8ad4-f3bcdd14fe10","Radiopharmacy","2bd8bebd-d195-4159-94d3-1e98479fea14"
"The London Independent Hospital","bae078c5-f669-4ec1-8863-75145a4f14aa","Nuclear Medicine Stand Alone","a1381eb2-9cb4-4230-824d-1086453d82aa"
"The Royal London Hospital","6b3b683a-fba0-4865-b8fc-60994ae69bf2","Radiology based Nuclear Medicine","b13edc45-7c9a-4510-b193-0d180b121451"
"The Royal Marsden, Chelsea","0f0ee8ec-2323-44e9-9677-74737df5931f","PET Centre","2ec95556-0147-4964-b5da-902a5865ef77"
"The Royal Marsden, Sutton","c15cd6bd-ca8c-49c0-b7e5-58a0ff80dd3d","PET Centre","146c2712-3faa-4296-9bc8-54d808fe01c7"
"The Royal Marsden, Sutton","c15cd6bd-ca8c-49c0-b7e5-58a0ff80dd3d","Radiopharmacy","f2ef82c4-de57-4241-813d-461814d1f857"
"The University of Lahore","3303605c-2dbd-4b7c-8d8d-f7b0c90b19d7","",""
"The Wellington Hospital","d5b992ed-c486-4b02-9ac6-e7bc0270d28d","Radiology based Nuclear Medicine","fff7b6ae-6584-4d21-80df-6e749f6ac9b3"
"Torbay Hospital","c23ee6aa-a09a-474c-8f66-cdc5b2103886","Nuclear Medicine Stand Alone","36f60835-cb8e-428f-8dd0-c1dfe5e37d11"
"Torbay Hospital","c23ee6aa-a09a-474c-8f66-cdc5b2103886","Radiopharmacy","95d8e042-e104-4716-9584-b7497601afa7"
"Tunbridge Wells Hospital","0178e432-c01e-46f3-aa22-0b61d5068a31","Radiology based Nuclear Medicine","715654cf-44b7-4893-885c-1dddd707a4fe"
"Universidad de la República","14012902-4b71-4dec-bfb4-1f4882bf6f3c","",""
"Universirty of Oxford","55b65591-6a02-4370-9805-c0c720924d79","",""
"Universitas Gadjah Mada","c12bbae4-203d-4926-b6e4-8dff6576c1dc","",""
"University College Hospital","044ec481-4314-436a-908f-f716d864c139","PET Centre","4b87d12c-af1a-40c7-a5b6-b240a60ecca7"
"University College Hospital","044ec481-4314-436a-908f-f716d864c139","Radiopharmacy","4c3ac5b2-bc34-4c79-85fa-437b7a106a86"
"University College London (UCL)","899d7d5a-4df1-4462-abc0-ceeaae93fb75","",""
"University Hospital Ayr","8b37a6c3-66c0-4937-8b50-8c91c6d23d88","Nuclear Medicine - Physics based","fd830413-cea6-4276-9c9a-25dcd8b08f1f"
"University Hospital Coventry","bd2b845b-a8b7-49f8-ad1b-17c466c94f2f","Nuclear Medicine Stand Alone","4cd68788-5333-45d5-ab3e-88fcea4b9293"
"University Hospital Coventry","bd2b845b-a8b7-49f8-ad1b-17c466c94f2f","PET Centre","ad920974-8272-435e-af15-4a1c5631c6fc"
"University Hospital Coventry","bd2b845b-a8b7-49f8-ad1b-17c466c94f2f","Radiopharmacy","6cab6cb9-2a26-4a1f-9292-b5112fc71e54"
"University Hospital Lewisham","6aed68a4-28c7-42ac-9747-ab530570611d","Radiology based Nuclear Medicine","77fa1f5a-7af0-44e4-ad29-55b390f0f0ef"
"University Hospital Llandough","703e038c-a211-45b7-a60b-be3225c51d9c","Radiology based Nuclear Medicine","df43a675-4bc3-4295-80de-bc0d8af9e7e3"
"University Hospital Monklands","5cd15c91-5dd5-45cf-acf6-bcf4663c8dfe","Nuclear Medicine Stand Alone","790c3adf-0bb8-4279-8cc7-e001215c9041"
"University Hospital North Durham","305de5da-03ac-48a3-9a3e-328821a3fa06","Nuclear Medicine - Physics based","3fcf77c9-7f9e-44f7-a9e0-5fe5297fba59"
"University Hospital of Hartlepool","41d6fa27-b04e-45be-b002-afe9ae14d798","Nuclear Medicine - Physics based","f861f963-a29f-4789-a470-c8affdd40672"
"University Hospital of Hartlepool","41d6fa27-b04e-45be-b002-afe9ae14d798","Radiopharmacy","3951038a-a53c-4ef2-9e02-dfbb21043ae2"
"University Hospital of Wales","740557c7-ceb7-4aab-aa8a-4966bab0c216","Nuclear Medicine - Physics based","a10b3d9a-51ec-44b4-b0bc-22ad38e25825"
"University Hospital of Wales","740557c7-ceb7-4aab-aa8a-4966bab0c216","PET Centre","694b5272-a2b0-42b2-984c-d7016c508a00"
"University Hospital of Wales","740557c7-ceb7-4aab-aa8a-4966bab0c216","Radiology based Nuclear Medicine","8b862069-0a07-4556-a26d-6832c94665ac"
"University Hospital of Wales","740557c7-ceb7-4aab-aa8a-4966bab0c216","Radiopharmacy","99acb0a5-45d6-49ef-8e83-481b5e6df774"
"University of Benin","72f7b3ab-04d7-449c-87d1-7d8bc7659a94","",""
"University of Birmingham","7233350f-33a9-4b5f-b9cf-7fe0d8e4502a","",""
"University of Brighton","6aff7505-6755-41aa-8d6b-4c5552146e36","",""
"University of Bristol","37bcdab2-3f7d-4a21-85f9-2844953aa7f4","",""
"University of Exeter","75e5c0c9-24db-417f-9f4a-90fb47b38fbb","",""
"University of Glasgow","fb09d179-becf-4709-9949-fde1e8e42dbd","",""
"University of Gloucestershire","fcb3bd39-76a1-48d1-b4c5-be4f88638a82","",""
"University of Liverpool","1e9a9480-d517-46a9-83be-df5ec067a090","",""
"University of Manchester","9366dc64-767b-42d9-9127-236c61d4a5c4","",""
"University of Nottingham","2223aee9-8540-434c-b330-325371af95c7","",""
"University of Oxford","7d3b98f7-2a1e-4f40-8dd1-99ac620b9eae","",""
"University of Salford","f14f1e33-e569-4185-8239-e7f721c690d2","",""
"University of the West of England, Bristol (UWE Bristol)","0b74f512-0375-4e30-8064-a0bd8d36ac69","",""
"Velindre Hospital","f71d54b8-dea1-403c-ac7c-032c0c8e9141","Nuclear Medicine - Physics based","08174792-e727-474f-b0a9-932844c4a1de"
"Victoria Hospital Kirkcaldy","9a51a25b-6d42-47f2-b7a5-174db3c98e77","Nuclear Medicine Stand Alone","7a622e90-0397-45c9-ad66-ac80c5a74108"
"Wales Research & Diagnostic PET Imaging Centre","44507250-4ee5-4773-8b39-d786a91b937c","PET Centre","1e4ff7a8-4907-4fb2-a7b2-03685a9aa7a3"
"West Cumberland Hospital","336b1a93-d973-45b7-913f-c40f7932f67a","Radiology based Nuclear Medicine","f093fbd2-8781-4a1d-930d-794985bb097b"
"West Glasgow Ambulatory Care Hospital","85ca50c0-b614-41a8-a6e2-f8128a0e92da","PET Centre","d50e4df5-3ed0-4a69-bb9c-e8df6ee7d879"
"West Suffolk Hospital","3eef5c87-60c6-48c7-9291-c9899bda4622","Radiology based Nuclear Medicine","600732a9-08ae-409d-af71-7ada750e671e"
"Western General Hospital","d6cefdc2-435c-472a-a785-1320188a0747","Radiology based Nuclear Medicine","f84b55b0-9641-4395-81d5-f3786381b08e"
"Weston Park Cancer Centre","b9bf914b-d3c4-45af-8adc-7d4532b6ffde","Nuclear Medicine - Physics based","8054fa8a-78c5-453b-a528-0785a371ca07"
"Whipps Cross University Hospital","7c2a04f0-9740-46d8-a2fb-c28c3f18ade5","Radiology based Nuclear Medicine","b7ef3d21-cc0d-48ba-9e22-17e4395e21e6"
"Whiston Hospital","f85a9bf4-044c-48db-89f7-10878f6cd3f3","Radiology based Nuclear Medicine","77ef6c83-d0de-4af4-9a52-8d84f5234a19"
"Whittington Hospital","267546f2-c55c-4909-93ab-dbafa74db3bc","Nuclear Medicine Stand Alone","907541b9-d8b7-4aee-9c26-6ed91f9a11b1"
"William Harvey Hospital","da46fe5f-5ee6-49f5-a340-8e6990c80448","Nuclear Medicine Stand Alone","fa05d50d-a29a-43e0-9f83-cb32169529d8"
"Withybush General Hospital","40ba22e6-a485-4fc0-8346-167053f91be0","Radiology based Nuclear Medicine","ecfd9ace-5197-4913-a0e3-c773e28e619a"
"Wolfson Brain Imaging Centre","b91949e7-087f-4e55-bb3d-c290721b598c","PET Centre","5639f8fc-7fd8-422d-b16b-46e634c95f4d"
"Wolfson Molecular Imaging Centre","2a96c61c-0222-43ad-95f4-56c3b64bf3d5","PET Centre","bcc748b8-81b9-4e55-9c38-bda228992f49"
"Worcestershire Royal Hospital","9ef4aa85-f117-4e17-b712-98ccc81e20d8","Radiology based Nuclear Medicine","94015172-df64-49e1-a693-fb6c90711683"
"Wrexham Maelor Hospital","88ae52a9-e43c-4e60-b966-84ae16c7ece0","Radiology based Nuclear Medicine","7cc3774f-aaa4-44bd-a50a-9c8acb8e554a"
"Wrexham Maelor Hospital","88ae52a9-e43c-4e60-b966-84ae16c7ece0","Radiopharmacy","761b60e1-389d-4997-a03f-440dfe89f9a2"
"Wycombe Hospital","758b2370-c539-4738-8ffa-8965f4bd0194","Radiology based Nuclear Medicine","c4eb53a5-a052-421d-a9bc-e281445468e4"
"Wythenshawe Hospital","5c16940d-cfc5-4457-8973-91edafd2f057","Radiology based Nuclear Medicine","82361c78-bd8c-4ca7-9d7b-4a00479ac03b"
"York Hospital","24d9562c-ebaa-4afe-a4ae-d6224dbb80c1","Radiology based Nuclear Medicine","37398088-08fa-41a4-bd9b-04d95782736e"
"York Hospital","24d9562c-ebaa-4afe-a4ae-d6224dbb80c1","Radiopharmacy","f1f246e3-16a4-45ab-9ff8-ee357d55b552"
"Ysbyty Gwynedd","4ea2c885-d96f-40ef-8099-8b6febc6ebdb","Nuclear Medicine Stand Alone","0c9c264e-9056-43f5-be51-8d584af94368"
