"Organisation Name","Organisation UUID","Department Name","Department UUID"
"Chelsea and Westminster Hospital","d2366cdb-7c3b-47a9-beae-8e1d031876cb","Nuclear Medicine Stand Alone","17a8342b-e9f8-4b93-a185-819b30fb0480"
"Cheltenham General Hospital","41fc84ec-b6da-4a4a-8c49-37537b7b96a8","Nuclear Medicine Stand Alone","14638070-91cb-4e88-b78e-7e3268acd669"
"Cheltenham General Hospital","41fc84ec-b6da-4a4a-8c49-37537b7b96a8","Radiopharmacy","200433b2-8a66-4f8a-9b26-1bff874b8b32"
"Chesterfield Royal Hospital","2ae3e12c-0287-4417-89f9-e76fcea0ff74","Radiology based Nuclear Medicine","42bf0355-c042-43a2-ad85-204d21778145"
"Chesterfield Royal Hospital","2ae3e12c-0287-4417-89f9-e76fcea0ff74","Radiopharmacy","28ecd3fa-188e-4a62-9211-fa560dba2096"
"Christchurch Hospital","27f8f87e-e47c-4ead-a201-e8cc03b4419c","Radiology based Nuclear Medicine","fdb93b8c-712a-4852-bdbf-25215279f072"
"Churchill Hospital","22813a71-ef75-497b-95a6-7616b2ba8bd2","Nuclear Medicine Stand Alone","a3a8ded3-2493-4b6c-9550-f454398bc8cd"
"Churchill Hospital","22813a71-ef75-497b-95a6-7616b2ba8bd2","PET Centre","c3ab9ee8-5392-4140-800d-e674fb2de6a7"
"Churchill Hospital","22813a71-ef75-497b-95a6-7616b2ba8bd2","Radiopharmacy","f294f444-e5f4-4f00-af12-597530d82096"
"Clatterbridge Cancer Centre","d80a0658-0275-4b1d-80a8-38d73f5da2a0","Nuclear Medicine Stand Alone","9c695a41-6873-4e66-99aa-9e428dd55651"
"Clatterbridge Hospital","1b7d188f-1986-4018-bf74-bfe4627394aa","Radiology based Nuclear Medicine","4320f0a0-524e-4db2-8275-ad6ef85c4e0c"
"Cobalt Imaging Centre","51235727-144e-4bb5-8f48-35e6c2c6d6d1","PET Centre","c0e7b56b-c639-4b29-b56c-495862bef4f8"
"Colchester Hospital","9bde0feb-734f-446b-9805-59111aec3633","Radiology based Nuclear Medicine","b0e7710b-bd47-44c5-a5b0-4cf67fce9b5b"
"Colchester Hospital","9bde0feb-734f-446b-9805-59111aec3633","Radiopharmacy","0e2849f9-87e2-4be9-94eb-1dc6fd125c39"
"Conquest Hospital","56b36b6b-c57f-4f0f-a92d-ef6e51987ba7","Radiology based Nuclear Medicine","b875b580-49ad-418a-aaf5-46c515dd559d"
"Countess of Chester Hospital","cd8aaac1-3e88-444a-8107-aca6c2f06de8","Radiology based Nuclear Medicine","16a9fe60-8b9b-4c78-915a-87c164ba2705"
"Craigavon Area Hospital","0cc860d7-ed62-44ef-b0a1-f35cd3f330bf","Radiology based Nuclear Medicine","536fb38e-034a-4018-a4c9-37013595896a"
"Cromwell Hospital","befcc132-fcac-440a-96af-51c77e0c87be","PET Centre","acb738c0-c335-480d-ad9a-df12c8c69e01"
"Crosshouse Hospital","fd2520d8-9c8d-408d-82ad-6028bc99712f","Nuclear Medicine - Physics based","48b41eea-59ba-4a5a-a085-96888d892c6d"
"Cumberland Infirmary","2d4d1f43-35cf-45f3-b83d-4aabc09efadd","Radiology based Nuclear Medicine","20b372f6-0987-422f-a85a-6e90d65dc411"
"Cumberland Infirmary","2d4d1f43-35cf-45f3-b83d-4aabc09efadd","Radiopharmacy","26ecfe47-5db9-4cc1-8209-34ead5effa54"
"Darent Valley Hospital","64a2317e-f62b-42c1-8cb3-e5a2d6bab2a4","Nuclear Medicine Stand Alone","24cc0002-770c-4e84-8ffb-d91859515266"
"Darlington Memorial Hospital","8260f133-56e0-4924-a98d-920d68040aee","Nuclear Medicine - Physics based","cd744770-5ef3-4a6f-9a4b-72cd3d107933"
"Darlington Memorial Hospital","8260f133-56e0-4924-a98d-920d68040aee","Radiopharmacy","0d159ef9-b7a8-41e2-b514-770e3e8c139c"
"Derriford Hospital","959243f8-f552-44e7-b447-1ceda4181c80","Nuclear Medicine Stand Alone","3dd51100-b514-491b-9c92-f618c2c67b49"
"Derriford Hospital","959243f8-f552-44e7-b447-1ceda4181c80","Radiopharmacy","b9b2efff-8fe0-404e-9c74-4953f7b978ff"
"Diana, Princess of Wales Hospital","6abe5a77-40c5-4e7f-892d-bb45dd755181","Nuclear Medicine Stand Alone","b6c0d546-ac17-41cc-a3fa-93c87e663009"
"Diana, Princess of Wales Hospital","6abe5a77-40c5-4e7f-892d-bb45dd755181","Radiopharmacy","9ef76a3b-d4b0-42c0-aef7-5882187b4eae"
"Doncaster Royal Infirmary","d0cf3998-a023-44c3-b1cd-f9a9bd86f738","Radiology based Nuclear Medicine","938b4829-bda4-414b-8201-c8c67f9d3c16"
"Dr Carol Davila Central Military Emergency University Hospital","2c5e5632-06b4-473c-9b8c-8238640591cb","",""
"East Surrey Hospital","2e29dda4-134e-4e00-b85b-7048734bcd1d","Radiology based Nuclear Medicine","4ea38a89-5605-4e7b-8894-c7d149269e96"
"Eastbourne District General Hospital","cf16656b-44a6-450b-88c9-ce15a65ac0b9","Radiology based Nuclear Medicine","f3dd293c-0f5c-45b8-a99b-cb3b7be9f423"
"Edinburgh Imaging Facility QMRI","761faa8f-0fae-43eb-a0bb-e3147fdc4c2e","PET Centre","a8ade5d4-52aa-4e4c-b773-21fd0f74e041"
"Forth Valley Royal Hospital","59f043a5-7a54-47d9-a637-3bfd40d3dbd8","Nuclear Medicine Stand Alone","3d8e352a-15d5-46ee-9f1d-1c7fe35c9a6e"
"Freeman Hospital","b41fad3f-42f6-406d-a50a-17c7a3809b69","Radiology based Nuclear Medicine","f9629759-cd53-499b-97b9-a94784536d18"
"Freeman Hospital","b41fad3f-42f6-406d-a50a-17c7a3809b69","Radiopharmacy","219e23f7-83aa-478f-8fab-336bcf35f94c"
"Frimley Park Hospital","97ca46dd-48af-443f-b396-af5908a2a984","Radiology based Nuclear Medicine","bff9eafd-5d9c-4acb-96ce-85aa62594ee6"
"Furness General Hospital","0d7b6d55-a69a-4fb7-9f66-e0ce4a88c2f6","Radiology based Nuclear Medicine","41264ea6-ad70-4eb1-9bc1-89b5079baafe"
"Furness General Hospital","0d7b6d55-a69a-4fb7-9f66-e0ce4a88c2f6","Radiopharmacy","3288420a-0fd4-43fb-a62a-8259c276ee68"
"Gartnavel General Hospital","d2a04c1b-8de7-402e-af4b-61ece4f7f71e","Nuclear Medicine - Physics based","1c7f36aa-9d78-47ce-84be-47fdce6c65f8"
"Glan Clwyd Hospital","f7f2e1be-f62b-46b9-b3fa-793f3c37986d","Radiology based Nuclear Medicine","de433674-b81f-41eb-99b9-20c4e246c475"
"Glasgow Caledonian University","a608d9b6-3ed6-4b83-a824-248487ccbfa3","",""
"Glasgow Royal Infirmary","474d6028-27c3-447d-afe2-7c9d8540e4ab","Nuclear Cardiology","e6eeef1a-cbb6-4471-977c-146673deae3e"
"Glasgow Royal Infirmary","474d6028-27c3-447d-afe2-7c9d8540e4ab","Nuclear Medicine - Physics based","b0d9c420-0aae-4af9-ba51-8c19697e7f56"
"Glenfield Hospital","b99c1308-2c5f-4ec6-8288-c576a2970071","Nuclear Medicine - Physics based","193c80ab-8e0b-4599-80bb-07bc46f0db80"
"Glenfield Hospital","b99c1308-2c5f-4ec6-8288-c576a2970071","Nuclear Medicine Stand Alone","c6e3d8ea-fc24-44c4-8202-28e0c2c0fd6e"
"Gloucestershire Royal Hospital","3a0d28db-1e80-47e6-9002-0885c9a5a334","Nuclear Medicine - Physics based","c9dc0ef2-675d-4000-bc95-4a354833360e"
"Good Hope Hospital","e1c8d402-7c52-4e9c-974f-d75b3c0d2198","Radiology based Nuclear Medicine","42866e4c-b51e-4072-b1fc-fe8a9dc61828"
"Grantham and District Hospital","794ad7f2-0af5-4a6b-abb9-226538640df1","Radiology based Nuclear Medicine","eb0010bc-a05b-43d3-982e-d4d496036b53"
"Great Ormond Street Hospital","9f046ddb-b480-4967-8a90-46f5d4c0b29b","Radiology based Nuclear Medicine","e5ab5b90-9a97-4565-9397-c03615edb074"
"Great Western Hospital","5ccc2767-6da6-4171-8630-ae63d81f8a10","Radiology based Nuclear Medicine","597ad4b9-23b3-4c21-bc91-e064c44c9420"
"Guy's Hospital","a5e0bd35-fcc0-4bab-9518-efb97fd1020e","Nuclear Medicine Stand Alone","8696a3d8-b80b-4d9f-890f-08aa24ded0d5"
"Guy's Hospital","a5e0bd35-fcc0-4bab-9518-efb97fd1020e","Radiopharmacy","4e70b24b-05cf-43d2-bad9-f3f6ffc3c8ed"
"Hammersmith Hospital","a3dcdce6-21e6-474d-bd38-d32e547cbb2f","Radiology based Nuclear Medicine","f2963e6b-7d26-4737-bee4-ac035d0c5796"
"Harefield Hospital","51711e8d-1371-4e1b-956e-3a936d3bb062","Nuclear Medicine Stand Alone","0b4f4ee5-9d62-4353-be9b-728b311f8507"
"Harrogate District Hospital","49c2560a-f705-4020-b442-e39fd34586fa","Radiology based Nuclear Medicine","6debb3a7-a9fa-4baf-81b7-9e369a5c3293"
"Hemel Hempstead Hospital","bb511364-8848-4728-b5e3-28c90e117abd","Radiology based Nuclear Medicine","124d9915-6ef0-4a2b-b75c-38121036f70e"
"Hereford County Hospital","0755f120-c74b-4ba3-b269-77a3acde5216","Nuclear Medicine Stand Alone","cb0bf2d8-3c9e-4751-b1c2-8bf695251182"
"Hillingdon Hospital","61e4109a-00f4-4921-b031-dc4cc37e68d7","Radiology based Nuclear Medicine","9cb63489-7b8e-47e5-bbbe-965d0834ea97"
"Huddersfield Royal Infirmary","aec84f48-5b26-43a1-8f6b-dd9f3ae5e0ac","Radiology based Nuclear Medicine","cc9b5253-369e-400c-bb53-2d9fccda1715"
"Huddersfield Royal Infirmary","aec84f48-5b26-43a1-8f6b-dd9f3ae5e0ac","Radiopharmacy","e8aef3a8-2c56-418b-9bbe-90e935e31207"
"Hull Royal Infirmary","6c0ab51a-5889-4788-aaa4-0f4dd9db0823","Radiopharmacy","c25ac777-2e13-43a0-b670-1fd7dc616888"
"Imperial College London","33c22428-af0a-4e6e-a9db-114733073764","",""
"InHealth Nottingham PETCT Centre","c2d9ef73-5ee0-4c7b-95b2-0af852e97bd9","PET Centre","8ed94cb1-6618-48bb-8cc5-203ead59d13e"
"Inverclyde Royal Hospital","06eceb62-d0cd-4592-b99c-2a8777758866","PET Centre","26b7310f-d87c-4030-a5c1-12d7e4e35a03"
"Ipswich Hospital","662246be-8586-4ee6-9082-18b592e276ff","Radiology based Nuclear Medicine","763730e2-0f7b-4fbb-acfd-910d87cbdfe1"
"Ipswich Hospital","662246be-8586-4ee6-9082-18b592e276ff","Radiopharmacy","67cc7c73-bfbc-46c6-8814-24ab2e87d063"
"Iqra Institute of Health Sciences, Quetta","d2bd0dc2-b644-49c6-a3df-810712be1c62","",""
"Jack Brignall PET-CE Centre","e5dfef21-fbb5-437e-a4b4-d2720440dec7","PET Centre","bb6a9b5b-ccd4-4677-8ad6-a7a015d7d3ee"
"John Mallard PET Centre","6895d932-8894-4bf5-82a9-877e5d15911d","PET Centre","9d6e98f9-734b-4b4d-b476-da803378759c"
"John Radcliffe Hospital","0ce1098b-42e4-4056-ab89-ac28a06ac34c","Nuclear Medicine Stand Alone","44a331f4-7cff-4c12-ad3e-a699a37a153d"
"Jomo Kenyatta University of Agriculture and Technology","c955fd44-716b-407e-aeef-898b98bd39f9","",""
"Kent & Canterbury Hospital","c13546d9-a8ae-46fc-9370-57c9c811f914","Nuclear Medicine Stand Alone","e629e712-2068-45aa-bc23-fca21599ff31"
"Kent & Canterbury Hospital","c13546d9-a8ae-46fc-9370-57c9c811f914","Radiopharmacy","40c48446-7b1e-4813-a13b-c73a8b569d67"
"Kettering General Hospital","9ba3693f-ed39-4a70-a5ed-ee455ba809f9","Nuclear Medicine Stand Alone","9ea7aa66-e117-4532-8b35-1d7ddb641954"
"Khyber Medical University","1a408071-d6f8-4df7-9515-20d6c4d3ae0a","",""
"King's College Hospital","79381b52-eaf0-4a73-9893-684d3267eea3","Nuclear Medicine Stand Alone","cb330777-3f9e-4e0d-a20c-7ded89a5333f"
"King's College Hospital","79381b52-eaf0-4a73-9893-684d3267eea3","PET Centre","3fa4bfea-ae68-40ac-be80-a7f7a5fc7c34"
"King's Mill Hospital","43bbce5d-f2ff-473d-875a-d8d3d63b28c3","Nuclear Medicine Stand Alone","63ce65d2-7a9c-4629-8132-cf24b8845c0e"
"Kingston Hospital","d3a19eef-f71c-4079-81ca-bfc6bb3fa71d","Radiology based Nuclear Medicine","b54a94f3-6ab9-42aa-ad8a-e23ed86f8cca"
"Lancaster University","c4bd1f91-0704-40b7-a914-468f8928b74e","",""
