Page URL,Menu Item,Resource URL,Title,Brief Description,Date,Member Only,Resource Type,Bone,Cardiovascular,Careers,Coding & HRGs,Diagnostics,Educational,Endocrinology,Equipment,Gastro,Haematology,Infection,Lung,Management,Management and Workforce,Molecular Radiotherapy,Neurology,Oncology,Paediatrics,PET and PET-CT,Physics – dosimetry,Physics – imaging science,Physics – radiation protection,Radiopharmaceutical Development,Radiopharmacy,Renal,Therapeutic,Thyroid,Training,Working in NM
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=1yzf2iynekJafmmgmpJcwY4xQ-bSVIdmc&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Administration of Molecular Radiotherapy,Updated July 2019,43617,No,Guidelines,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=12YjJ6VThcM29gpO_PTRI6XU7UEZUncp4&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Administration of medicinal products by non-medical personnel as part of Clinical Nuclear Medicine Procedures,"A number of nuclear medicine procedures require the administration of non-radioactive medicinal products in order to optimise the biodistribution of the radiopharmaceutical. The preparation and administration of these medicines is often undertaken by non-medical personnel including nurses, radiographers and nuclear medicine clinical practitioners.

This document provides guidance on the preparation and administration of these non-radioactive medicines and should be read in conjunction with ‘Certificate for the administration of intravenous radiopharmaceuticals by healthcare professionals working in nuclear medicine’ (BNMS Nurses and technology Groups) 1 (Appendix and ‘Safety in Doses: Improving the use of medicines in the UK’ (NPSA)2

Reviewed May 2016 by Dr Bev Ellis on behalf of the BNMS Professional Standards Committee",42491,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://journals.lww.com/nuclearmedicinecomm/fulltext/2024/01000/bnms_uk_pet_standards.1.aspx,BNMS UK PET standards,Now published in NMC from Jan 2024,45292,No,Guidelines,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://journals.lww.com/nuclearmedicinecomm/fulltext/2022/11000/british_nuclear_medicine_society_clinical.1.aspx,Bone Scintigraphy,"Reviewed September 2022 by Prof Richard Graham
Now published in NMC",44866,No,Guidelines,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=1dxHQ5GBhzjwC0uuI5L2HIU6fdCK0aV-v&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Certificate for the Administration of Intravenous Radiopharmaceuticlas by Healthcare Professionals working in Nuclear Medicine,"REVISED DECEMBER 2018
This document is a collaboration between the BNMS Nurses' and Technology Groups. It is intended as a transferable record of practical experience for non-medical staff performing intravenous injections.",43435,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=1BBbM0ifIWsA3yxGtJjRYDXi9FCrQ5eAV&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Clinical Competence in Myocardial Perfusion,"The Society, in conjunction with the British Nuclear Cardiac Society have produced general training guidelines and assessment.
Last Reviewed 2016",42522,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=1EK6dKSJOfRG2cNcdzuaaMdQ0kBhSD0eJ&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Dynamic Renal Radionuclide Studies,"Reviewed November 2018
This guideline must be read in conjunction with the BNMS Generic Guidelines. The purpose of this guideline is to assist specialists in Nuclear Medicine and Radionuclide Radiology in recommending, performing, interpreting and reporting the results of dynamic renal radionuclide studies. This guideline will assist individual departments in the development and formulation of their own local protocols.",43374,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://journals.lww.com/nuclearmedicinecomm/Citation/2023/07000/British_Nuclear_Medicine_Society_Clinical.1.aspx,Gastric Emptying Guidelines,"British Nuclear Medicine Society Clinical Guidelines for Gastric emptying
Notghi, Alp; James, Gregory; Hay, Peter D

Purpose
The purpose of this guideline is to assist specialists in nuclear medicine and radionuclide radiology in recommending, performing, interpreting and reporting the results of gastric emptying studies.
This guideline will assist individual departments to formulate their own local protocols.
This does not aim to be prescriptive regarding technical aspects of individual camera acquisitions, which need to be developed in conjunction with the local Medical Physics Expert.
These guidelines pertain only to adult patients.",45108,Yes,Guidelines,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://journals.lww.com/nuclearmedicinecomm/fulltext/2021/04000/lacrimal_scintigraphy_bnms_guidelines.16.aspx,Lacrimal scintigraphy BNMS Guidelines,"The purpose of this guideline is to assist specialists in Nuclear Medicine and Radionuclide Radiology in recommending, performing, interpreting and reporting the results of lacrimal scintigraphy (also known as Dacroscintigraphy)",41000,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=18cNArLQNfmdGbrEe6We7NmFnZPySSO3W&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Lymphoscintigraphy,"This guideline must be read in conujunction with the BNMS Generic guidelines. The purpose of this guideline is to assist specialists in Nuclear Medicine and Radionuclide Radiology in recommending, performing, interpreting and reporting the results of lymphoscintigraphy. This guideline will assist individual departments to formulate their own local protocols.",43435,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=1Thc06w71v4OBq2Q1c6LhhiBazRKsg58W&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Measurement of glomerular filtration rate (GFR) using plasma sampling,"The purpose of these guidelines is to assist specialists in nuclear medicine in recommending, performing, interpreting, and reporting the results of glomerular filtration rate (GFR) studies. They will help individual departments in the development of local protocols. ",43252,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=1GrTuQ5UFIQLyQ8LZoyuz7hWYqt-6SZRR&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Parathyroid Scintigraphy,"The purpose of this guideline is to assist specialists in Nuclear Medicine and Radionuclide Radiology in recommending, performing, interpreting and reporting the results of Parathyroid Scintigraphy. ",43586,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=1AzVq6WC0yoiF1-Zxlwl0oGj0agF7rWeM&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Radionuclide Cardiac Ventriculogram,"The purpose of this guideline is to assist specialists in nuclear medicine and radionuclide radiology in recommending, performing, interpreting and reporting radionuclide cardiac ventriculograms (RNVG), also commonly known as multiple gated acquisition (MUGA) scans.It will assist individual departments in the development and formulation of their own local protocols.",2025,No,Guidelines,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://drive.usercontent.google.com/download?id=1xo2NxTzf-IYkIkoH4nY0U_9zAgDbLgRP&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Radionuclide Lymphoscintigraphy for Sentinel Node Localisation in Breast Carcinoma,"The purpose of this guideline is to assist practitioners in recommending, performing, interpreting and reporting sentinel node imaging for identifying sentinel nodes for excisional biopsy in patients with breast carcinoma",43405,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://journals.lww.com/nuclearmedicinecomm/fulltext/2024/04000/recommendations_for_good_clinical_practice_for_dpd.1.aspx,Recommendations for good clinical practice for DPD bone scintigraphy for cardiac amyloidosis,"The purpose of these recommendations is to fill the knowledge gaps and empower nuclear physicians, radiologists, and cardiologists for appropriate interpretation of DPD scintigraphy in patients with suspected cardiac amyloidosis and recommend referral to specialist centre, when appropriate.",45383,No,Guidelines,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://journals.lww.com/nuclearmedicinecomm/citation/2024/07000/british_nuclear_medicine_society_sehcat_guidelines.3.aspx,SeHCAT guidelines,"British Nuclear Medicine Society Clinical Guidelines for SeHCAT guidelines
Notghi, Alp; James, Gregory; O’Brien, Joseph; Arasaradnam, Ramesh; Peters, Adrien Michael; McKiddie, Fergus; Watts, Tim",45474,Yes,Guidelines,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSClinicalGuidelines,BNMS Clinical Guidelines,https://journals.lww.com/nuclearmedicinecomm/citation/2024/12000/clinical_guideline_for_static_renal_cortical.1.aspx,Static renal cortical scintigraphy in paediatrics,"British Nuclear Medicine Society Clinical Guidelines for Static renal cortical scintigraphy in paediatrics
Biassoni, Lorenzo; Walker, Matthew; Redman, Stewart; Graham, Richard",45627,Yes,Guidelines,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,
